"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
3035240,"       (2000 GK147)","2000 GK147",,,N,N,0,9.2243,,,,,,,,,,,,,,,,,.28789,,"JPL 6",2451650.5,51650,2000-04-16.0000000,J2000,.4760349479103526,58.81716414231481,30.81813847359332,6.046232895286502,1.596306875746728,141.4597141566437,12.89874144156583,86.81618981103631,.002184982444925798,2445747.138409374559,1984-02-16.6384094,164761.0491498597,451.091168103654,29.8333,11610.225361,25.4618,5.969,43.816,2707.9,1158.3,40.137,3.73,8854.4,1447.1,3997.,.15089,1069900.,1.1378E7,TNO,"Otto Matic",35,2000-04-02,2000-05-07,8,,,9,.25247,,,,,,,,,
3035241,"       (2000 GL147)","2000 GL147",,,N,N,0,7.81,,,,,,,,,,,,,,,,,.51626,,"JPL 7",2451664.5,51664,2000-04-30.0000000,J2000,.09974866829713759,35.62130161431199,32.06812421527369,13.82808386012824,25.41749780029544,300.1489765115649,249.6257812945652,39.17447901335029,.004635956976345041,2475472.792283258674,2065-07-06.2922833,77653.86992090287,212.604708886798,31.0775,12094.430675,27.1396,5.202,19.209,1400.6,1943.,455.12,16.744,24206.,24423.,1540.3,.27342,3864600.,4579900.,TNO,"Otto Matic",32,2000-04-02,2000-05-04,5,,,9,.10212,,,,,,,,,
3035242,"       (2000 GM147)","2000 GM147",,,N,N,0,7.8567,,,,,,,,,,,,,,,,,.33387,,"JPL 6",2451647.5,51647,2000-04-13.0000000,J2000,.1900832809068516,39.57598450985882,32.05325152910612,18.07696110950839,96.12790287315921,173.6445392074279,292.9869284587401,47.09871749061152,.003958735474329964,2468575.398308891730,2046-08-17.8983089,90938.12969681482,248.975029970746,31.0381,12079.097377,26.7787,5.279,10.908,210.18,263.26,.3046,12.762,329.26,1459.7,250.13,.031536,233920.,724440.,TNO,"Otto Matic",33,2000-04-03,2000-05-06,7,,,9,.15839,,,,,,,,,
3038469,"       (2000 JF81)","2000 JF81",,,N,N,0,7.2,,,,,,,,,,,,,,,,,,,6,2460200.5,60200,2023-09-13.0000000,J2000,.10178906388733,45.95842592865443,41.2803607756415,1.743190937812986,180.0083268323519,130.896310459141,311.0183785187892,50.63649108166736,.00316341635272147,2475684.273243781890,2066-02-02.7732438,113801.0175898262,311.57020558474,40.2658,15670.241386,36.1893,6.023,.0001414,.021129,.020168,.00046849,.016616,.2055,.1794,.02328,2.1815E-6,46.057,78.478,TNO,"Otto Matic",5137,2000-05-06,2014-05-30,24,,,4,.24771,,,,,,,,,
3038467,"       (2000 JH81)","2000 JH81",,,N,N,0,8.7738,,,,,,,,,,,,,,,,,0.,,"JPL 6",2451671.5,51671,2000-05-07.0000000,J2000,6.146648273395415E-5,46.23014908966047,46.22730748499966,10.84237802886759,223.1343931330865,271.0520757196164,89.20620783957153,46.23299069432127,.003135567344885996,2423221.717862466314,1922-06-16.2178625,114811.7582571294,314.337462716302,45.2204,17598.423068,40.7816,5.968,3141.8,11600.,156450.,1948.7,45.76,2.9705E8,2.967E8,11600.,1.1801,9.4614E10,4.3211E7,TNO,"Otto Matic",2,2000-05-06,2000-05-08,5,,,9,.25817,,,,,,,,,
3038466,"       (2000 KL4)","2000 KL4",,,N,N,0,7.6,,,,,,,,,,,,,,,,,,,6,2460200.5,60200,2023-09-13.0000000,J2000,.06482780424004708,38.56250653010936,36.06258390576989,21.28615612198287,148.0567163666509,229.8006658481828,264.1918006796436,41.06242915444883,.004115818278131342,2483478.544084068544,2087-06-07.0440841,87467.4185478001,239.472740719507,35.102,13660.64534,31.2701,5.197,.00015356,.011525,.016419,.00010526,.0010264,.16458,.15356,.012272,1.8451E-6,27.262,39.211,TNO,"Otto Matic",6948,2000-05-28,2019-06-06,23,,,4,.27342,,,,,,,,,
3157787,"       (2000 KP65)","2000 KP65",,,N,N,0,10.5,,,,,,,,,,,,,,,,,,,5,2460200.5,60200,2023-09-13.0000000,J2000,.9626155643497646,88.78661931207286,3.319237656274137,45.47123758598457,224.0964094106257,321.9688230767392,10.48598702865271,174.2540009678716,.001178101730968041,2451299.751657973186,1999-05-01.2516580,305576.3271854202,836.622387913539,2.42111,942.2233787,1.50077,1.628,.00073569,1.7305,.00088492,.012518,.0090949,.012359,.30666,3.3964,3.4444E-5,.098776,8934.,TNO,"Otto Matic",58,2000-04-14,2000-06-11,20,,,5,.64945,,,,,,,,,
3046117,"       (2000 OB51)","2000 OB51",,,N,N,0,8.04,,,,,,,,,,,,,,,,,,,6,2460200.5,60200,2023-09-13.0000000,J2000,.04060129858999408,38.07129599618832,36.52555193973903,4.451634273042623,126.7947706259458,213.6075726784229,12.4844343752521,39.61704005263761,.004195730476301648,2457224.990861420495,2015-07-21.4908614,85801.50751659437,234.911724891429,35.5174,13822.306558,31.5257,5.526,.0013501,.069438,.015221,.00022296,.0012407,.26835,.21418,.072257,1.1479E-5,59.02,234.74,TNO,"Otto Matic",8439,1999-07-20,2022-08-27,24,,,5,.14843,,,,,,,,,
3054340,"       (2000 OH67)","2000 OH67",,,N,N,0,6.61,,,,,,,,,,,,,,,,,,,10,2460200.5,60200,2023-09-13.0000000,J2000,.02050289766404167,44.47865219159971,43.56671093748084,5.628265627694799,77.94285221997848,220.2323235535945,47.51727446985081,45.39059344571858,.00332258917620246,2445899.221102751413,1984-07-17.7211028,108349.2363661584,296.644042070249,42.5524,16560.117508,38.3938,5.935,.00018495,.013388,.0051853,.00016159,.0035175,.39569,.3988,.013662,1.5001E-6,113.93,48.918,TNO,"Otto Matic",7680,2000-07-29,2021-08-08,29,,,4,.32937,,,,,,,,,
3054346,"       (2000 OP67)","2000 OP67",,,N,N,0,7.51,,,,,,,,,,,,,,,,,,,8,2460200.5,60200,2023-09-13.0000000,J2000,.1884265354141849,43.98131669536203,35.69406956750092,.7522660970748878,182.5172063874614,79.98657496690629,71.73859109237708,52.26856382322314,.003379105361852445,2438970.445470700099,1965-07-28.9454707,106537.0745949886,291.682613538641,34.6779,13495.598343,30.3917,5.828,9.5449E-5,.01293,.0068455,.00024946,.010873,.059305,.066195,.015366,1.4901E-6,10.234,46.981,TNO,"Otto Matic",8062,2000-07-31,2022-08-27,42,,,4,.26201,,,,,,,,,
