packed_designation,resonant_count,classical_count,scattering_count,detached_count,other_count
o3883,301,0,0,0,0
o4555,301,0,0,0,0
o4847,0,301,0,0,0
o5412,0,301,0,0,0
o5446,0,301,0,0,0
o5447,0,301,0,0,0
o5448,0,301,0,0,0
o5476,0,301,0,0,0
o5477,0,301,0,0,0
o5624,0,301,0,0,0
o5679,301,0,0,0,0
o6121,79,222,0,0,0
o6439,0,301,0,0,0
o8770,0,301,0,0,0
o8788,0,301,0,0,0
o8792,300,1,0,0,0
o8823,301,0,0,0,0
o8869,0,301,0,0,0
p1551,0,301,0,0,0
p1552,0,301,0,0,0
p1553,0,301,0,0,0
p1554,0,301,0,0,0
p1555,300,1,0,0,0
p4312,0,0,301,0,0
p6977,0,301,0,0,0
p7717,0,0,301,0,0
q3588,0,301,0,0,0
q3591,0,301,0,0,0
q3601,0,301,0,0,0
q3615,0,301,0,0,0
q3617,301,0,0,0,0
q3618,301,0,0,0,0
q3624,301,0,0,0,0
q3627,0,301,0,0,0
q3629,0,301,0,0,0
q3634,0,301,0,0,0
q3635,0,301,0,0,0
q3639,301,0,0,0,0
q3640,0,301,0,0,0
q3642,0,301,0,0,0
q3644,301,0,0,0,0
q3645,0,301,0,0,0
q3646,301,0,0,0,0
q3647,0,301,0,0,0
q3652,0,0,301,0,0
q3653,0,301,0,0,0
q3655,301,0,0,0,0
q3658,0,301,0,0,0
q3659,0,301,0,0,0
q3671,0,301,0,0,0
q3672,0,0,301,0,0
q3674,0,301,0,0,0
q3675,301,0,0,0,0
q3677,301,0,0,0,0
q3678,0,301,0,0,0
q3680,1,0,0,300,0
q3681,0,301,0,0,0
q3683,0,0,0,301,0
q3684,0,301,0,0,0
q3687,0,301,0,0,0
q3688,301,0,0,0,0
q3689,0,301,0,0,0
q3690,0,301,0,0,0
q3691,301,0,0,0,0
q3692,0,301,0,0,0
q3693,301,0,0,0,0
q3695,0,0,301,0,0
q3696,0,301,0,0,0
q3697,301,0,0,0,0
q3698,0,0,301,0,0
q3699,0,0,0,301,0
q3700,301,0,0,0,0
q3701,301,0,0,0,0
q3702,0,301,0,0,0
q3703,301,0,0,0,0
q3704,301,0,0,0,0
q3705,0,0,300,1,0
q3706,0,0,0,301,0
q3710,0,0,301,0,0
q3711,0,301,0,0,0
q3712,0,301,0,0,0
q3713,301,0,0,0,0
q3715,301,0,0,0,0
q3716,0,301,0,0,0
q3717,301,0,0,0,0
q3718,0,0,301,0,0
q3720,0,0,301,0,0
q3721,0,301,0,0,0
q3722,0,0,301,0,0
q3723,0,301,0,0,0
q3724,0,301,0,0,0
q3725,0,301,0,0,0
q3726,0,0,301,0,0
q3730,0,301,0,0,0
q3731,301,0,0,0,0
q3733,0,0,301,0,0
q3734,0,0,301,0,0
q3735,0,301,0,0,0
q3736,0,301,0,0,0
q3738,0,301,0,0,0
q3739,0,0,301,0,0
q3741,0,296,5,0,0
q3742,301,0,0,0,0
q3743,301,0,0,0,0
q3744,0,301,0,0,0
q3745,0,301,0,0,0
q3746,0,0,301,0,0
q3748,0,301,0,0,0
q3749,301,0,0,0,0
q3750,0,301,0,0,0
q3751,301,0,0,0,0
q3752,0,301,0,0,0
q3753,0,0,301,0,0
q3755,0,0,301,0,0
q3756,0,301,0,0,0
q3757,0,301,0,0,0
q3758,0,301,0,0,0
q3759,0,301,0,0,0
q3760,301,0,0,0,0
q3761,0,301,0,0,0
q3762,0,301,0,0,0
q3763,0,301,0,0,0
q3764,301,0,0,0,0
q3765,0,0,0,301,0
q3766,301,0,0,0,0
q3767,0,0,301,0,0
q3768,301,0,0,0,0
q3769,301,0,0,0,0
q3770,0,0,301,0,0
q3771,0,0,301,0,0
q3772,0,301,0,0,0
q3773,0,301,0,0,0
q3774,0,0,0,301,0
