packed_designation,a_au,Nopp
q3639,66.6155646,12
q3640,47.334539,13
q3642,45.7608635,12
q3643,39.4041528,14
q3644,39.6904411,11
q3645,43.4653696,13
q3646,36.6843002,13
q3647,44.460063,13
q3652,64.5327491,16
q3653,40.9448519,12
q3655,39.6351384,15
q3658,40.878256,14
q3659,42.8785226,8
q3671,47.8019129,13
q3672,34.8419297,10
q3674,41.691404,10
q3675,50.3135837,13
q3677,42.6477371,14
q3678,45.4349622,13
q3680,72.9325125,10
q3681,45.5658013,14
q3683,51.9997041,12
q3684,45.6609281,13
q3687,42.4325218,15
q3688,42.0800999,13
q3689,46.5892606,13
q3690,46.836915,12
q3691,47.4475197,12
q3692,51.9418808,12
q3693,43.3133755,11
q3695,33.2910747,15
q3696,41.0522319,12
q3697,39.1283874,13
q3698,87.5549791,11
q3699,59.091445,10
q3700,39.4208449,10
q3701,39.1224759,11
q3702,46.0196128,12
q3703,39.4081787,12
q3704,39.2116552,10
q3705,52.0616022,12
q3706,60.5765056,8
q3710,34.2595549,12
q3711,43.69216,10
q3712,48.2130405,12
q3713,55.3455947,14
q3715,39.3950062,13
q3716,40.8649713,11
q3717,39.2398146,7
q3718,120.9020684,8
q3720,36.722914,12
q3721,44.1663175,12
q3722,69.6779348,12
q3723,40.6256857,12
q3724,43.8102209,12
q3725,45.3418176,12
q3726,125.064457,8
q3730,46.054636,11
q3731,42.7138606,13
q3733,72.5348624,11
q3734,32.0018408,12
q3735,38.773526,13
q3736,43.5848554,13
q3738,43.5105643,12
q3739,38.5139672,6
q3741,41.3678043,11
q3742,43.7203741,10
q3743,42.6268644,11
q3744,44.1235466,12
q3745,43.0283296,14
q3746,30.4601712,10
q3748,41.0154177,11
q3749,50.7708814,12
q3750,47.1140994,12
q3751,39.8304053,12
q3752,40.9157429,13
q3753,53.8145677,10
q3755,76.903195,11
q3756,44.1006097,12
q3757,44.1535691,15
q3758,42.8799414,13
q3759,51.3029852,11
q3760,39.3748567,10
q3761,41.6954269,9
q3762,42.5529994,13
q3763,40.1599732,12
q3764,39.6249614,10
q3765,58.4384203,12
q3766,39.7204027,11
q3767,76.6044595,11
q3768,39.414641,11
q3769,55.2737738,14
q3770,57.6209194,13
q3771,100.8710574,10
q3772,42.7111016,13
q3773,42.4408137,13
q3774,60.6136711,11
q3776,41.5602422,13
q3777,79.1443722,12
q3778,116.2189438,12
q3780,41.7078769,14
q3787,55.9396752,9
q3789,41.7246854,11
q3793,40.820546,8
q3794,83.038757,14
q3797,72.0746318,7
q3798,72.7738156,6
q3800,54.1826942,9
q3899,41.9689627,10
q3955,36.6345102,15
q3965,64.2500885,15
q3983,45.5869904,9
q4049,56.575281,13
q4179,47.3361097,14
q4216,39.7018204,13
q4217,44.4362634,14
q4365,55.2057723,13
q4366,42.9377675,16
q4435,46.0718436,15
q4457,36.173504,7
q4460,39.1350939,11
q4531,43.9222524,16
q4612,42.9440928,11
q4613,51.8139125,14
q4747,56.4303421,8
q4834,38.9350844,6
q5257,44.8654608,6
q5258,39.6153793,14
q5460,43.8129553,15
q5461,44.734439,8
q5462,45.360536,16
q5595,42.7127481,13
q5596,46.6055534,10
q5729,41.6932016,16
q5815,56.0875296,14
q5816,44.1125101,16
q7604,30.1997766,14
q8219,41.9909137,6
q8381,101.0330288,14
q9780,42.3474591,11
q9823,53.0308813,10
q9938,39.8114821,14
q9940,55.2176987,11
r0055,43.9957924,10
r0231,44.0587862,10
r0664,30.3783631,9
r0838,39.6617399,11
r0839,42.7297892,13
r0930,30.1932538,12
r0941,45.3003443,10
r0955,73.247658,12
r1015,73.034531,10
r1016,76.898087,9
r1017,54.8972518,13
r1040,43.1908947,12
r1074,47.5790911,12
r1075,69.5823623,12
r1076,42.6013529,10
r1077,39.2441226,12
r1141,46.20643,13
r1142,102.5115103,10
r1224,57.220427,9
r1682,42.9459911,7
r1683,42.5675744,7
r1684,43.9807521,10
r1917,43.5613462,13
r2026,47.2980998,12
r2027,31.6485954,11
r2037,58.5881095,11
r2038,45.5658769,10
r2039,43.372208,9
r2092,39.3910467,16
r2093,47.2510395,12
r2095,40.6703708,13
r2184,81.1814594,10
r3028,43.5675924,11
r3085,45.8231381,10
r3205,43.586058,8
r3206,42.9985713,11
r3207,37.7643187,9
r3208,77.0211131,11
r3209,39.1352221,9
r3210,100.8418581,11
r3211,36.3478239,11
r3397,43.6502924,11
r3398,40.9542945,10
r3506,42.8946276,9
r3507,37.6971315,10
r3508,64.9254252,10
r3560,62.0781307,9
r3561,41.2940512,9
r3562,39.2248911,11
r3563,136.819195,8
r3676,43.0919048,9
r3704,46.3302218,11
r3868,38.9712527,10
r4073,49.2794677,8
r4074,42.5922804,8
r4161,39.5427478,9
r4314,42.6244914,8
r4315,39.9089128,10
r4405,43.263278,11
r4625,44.682809,9
r4626,48.360557,10
r4627,72.6321319,8
r4631,40.0870276,8
r5017,98.33627,10
r5018,43.8467225,10
r5019,36.2635024,11
r5020,42.8385454,11
r5021,41.3426232,9
r5022,42.1054413,10
r5023,43.768322,9
r5024,39.6385797,10
r5025,47.9239966,9
r5026,47.0261667,9
r5027,43.8241021,10
r5028,45.2135962,10
r5029,39.4610281,9
r5030,67.8561868,12
r5031,63.076007,11
r5032,39.7587198,9
r5167,39.7323301,11
r5168,39.6295697,9
r5169,79.3153146,7
r5228,59.5749056,12
r5229,39.4862677,9
r5230,56.6273636,10
r5231,39.4681793,11
r5466,42.6199478,9
r5986,46.3481352,7
r5987,46.2732442,10
r5988,43.4225363,12
r5989,44.7384495,11
r5990,44.8012469,10
r5991,54.9493233,10
r5992,38.9651729,9
r5993,38.7639553,10
r5994,53.3170923,10
r6287,41.4967614,11
r6919,45.6147139,10
r6920,42.3666335,12
r6921,39.9550226,8
r6922,43.3938036,12
r8690,46.3112745,10
r8691,43.131912,9
s2258,57.9690369,13
s2889,52.6311888,11
s3354,55.802898,16
s3375,41.7825299,15
s3376,103.1762337,9
s3377,87.8099184,11
s3435,39.0356078,14
s3454,42.9151058,15
s3733,46.617508,13
s3734,42.5744101,9
s3735,154.7347564,9
s4430,55.6085985,9
s4977,40.6768251,8
s5293,47.4980081,14
s5361,42.4301744,11
s6974,79.0488754,12
s7616,39.8451014,12
s7617,43.6951042,12
s7893,40.992095,10
s8504,43.1084559,11
t0564,43.9331026,11
t2033,58.7454134,8
t2474,43.1342345,10
t2555,96.7108249,13
t2678,31.7181361,13
t2679,39.2399859,10
t3137,55.7398023,9
t3138,45.5353972,10
t3893,45.6698485,14
t3898,44.5488841,9
t4000,50.7743797,11
t4099,40.7741696,13
t4102,47.4431921,14
t4780,46.3269019,12
t4856,47.7379652,10
t4982,42.4950937,9
t5426,40.2377959,11
t5591,45.2741642,9
t5632,42.6376529,13
t5678,43.6594313,14
t5756,36.2953738,14
t5757,44.606308,11
t5758,39.2170942,9
t5820,41.1202879,16
t5915,40.4597114,15
t5916,39.2308151,11
t6004,55.4211848,13
t6067,39.2737342,12
t6068,39.4567667,12
t6130,39.1781266,12
